** CONVERTED FROM /home/methlab/Desktop/LEAMA-main/data/99/99_1.edf using edfapi 4.2.1.0 Linux   standalone Jun 18 2021 on Sat Apr 22 10:57:38 2023
** DATE: Wed May 13 22:56:26 2015
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.09 Nov 17 2015
** CAMERA: Eyelink GL Version 1.2 Sensor=AJ7
** SERIAL NUMBER: CLG-BDB07
** CAMERA_CONFIG: BDB07200.SCD
**

MSG	5327670 RECCFG CR 500 2 1 L
MSG	5327670 ELCLCFG RTABLER
MSG	5327670 GAZE_COORDS 0.00 0.00 799.00 599.00
MSG	5327670 THRESHOLDS L 66 203
MSG	5327670 ELCL_WINDOW_SIZES 176 176 224 224
MSG	5327670 CAMERA_LENS_FOCAL_LENGTH 27.00 
MSG	5327670 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	5327670 ELCL_PROC ELLIPSE  (5)
MSG	5327670 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	5327671 !MODE RECORD CR 500 2 1 L
START	5327672 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
INPUT	5327672	127
5327672	   .	   .	    0.0	...
SSACC L  5327674
SBLINK L 5327674
5327674	   .	   .	    0.0	...
5327676	   .	   .	    0.0	...
5327678	   .	   .	    0.0	...
5327680	   .	   .	    0.0	...
5327682	   .	   .	    0.0	...
5327684	   .	   .	    0.0	...
5327686	   .	   .	    0.0	...
5327688	   .	   .	    0.0	...
5327690	   .	   .	    0.0	...
5327692	   .	   .	    0.0	...
5327694	   .	   .	    0.0	...
5327696	   .	   .	    0.0	...
5327698	   .	   .	    0.0	...
5327700	   .	   .	    0.0	...
5327702	   .	   .	    0.0	...
5327704	   .	   .	    0.0	...
5327706	   .	   .	    0.0	...
5327708	   .	   .	    0.0	...
5327710	   .	   .	    0.0	...
5327712	   .	   .	    0.0	...
5327714	   .	   .	    0.0	...
5327716	   .	   .	    0.0	...
5327718	   .	   .	    0.0	...
5327720	   .	   .	    0.0	...
5327722	   .	   .	    0.0	...
5327724	   .	   .	    0.0	...
5327726	   .	   .	    0.0	...
5327728	   .	   .	    0.0	...
5327730	   .	   .	    0.0	...
5327732	   .	   .	    0.0	...
5327734	   .	   .	    0.0	...
5327736	   .	   .	    0.0	...
5327738	   .	   .	    0.0	...
5327740	   .	   .	    0.0	...
5327742	   .	   .	    0.0	...
5327744	   .	   .	    0.0	...
5327746	   .	   .	    0.0	...
5327748	   .	   .	    0.0	...
5327750	   .	   .	    0.0	...
5327752	   .	   .	    0.0	...
5327754	   .	   .	    0.0	...
5327756	   .	   .	    0.0	...
5327758	   .	   .	    0.0	...
5327760	   .	   .	    0.0	...
5327762	   .	   .	    0.0	...
