** CONVERTED FROM /home/methlab/Desktop/LEAMA-main/data/96/96_Res.edf using edfapi 4.2.1.0 Linux   standalone Jun 18 2021 on Fri Jun  9 12:43:54 2023
** DATE: Wed Jul  1 00:43:13 2015
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.09 Nov 17 2015
** CAMERA: Eyelink GL Version 1.2 Sensor=AJ7
** SERIAL NUMBER: CLG-BDB07
** CAMERA_CONFIG: BDB07200.SCD
**

MSG	15445739 RECCFG CR 500 2 1 L
MSG	15445739 ELCLCFG RTABLER
MSG	15445739 GAZE_COORDS 0.00 0.00 799.00 599.00
MSG	15445739 THRESHOLDS L 55 196
MSG	15445739 ELCL_WINDOW_SIZES 176 176 224 224
MSG	15445739 CAMERA_LENS_FOCAL_LENGTH 27.00 
MSG	15445739 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	15445739 ELCL_PROC ELLIPSE  (5)
MSG	15445739 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
START	15445740 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
INPUT	15445740	127
MSG	15445740 !MODE RECORD CR 500 2 1 L
15445740	   .	   .	    0.0	...
SSACC L  15445742
SBLINK L 15445742
15445742	   .	   .	    0.0	...
15445744	   .	   .	    0.0	...
15445746	   .	   .	    0.0	...
15445748	   .	   .	    0.0	...
15445750	   .	   .	    0.0	...
15445752	   .	   .	    0.0	...
15445754	   .	   .	    0.0	...
15445756	   .	   .	    0.0	...
15445758	   .	   .	    0.0	...
15445760	   .	   .	    0.0	...
15445762	   .	   .	    0.0	...
15445764	   .	   .	    0.0	...
15445766	   .	   .	    0.0	...
15445768	   .	   .	    0.0	...
15445770	   .	   .	    0.0	...
15445772	   .	   .	    0.0	...
15445774	   .	   .	    0.0	...
15445776	   .	   .	    0.0	...
15445778	   .	   .	    0.0	...
15445780	   .	   .	    0.0	...
15445782	   .	   .	    0.0	...
15445784	   .	   .	    0.0	...
15445786	   .	   .	    0.0	...
15445788	   .	   .	    0.0	...
15445790	   .	   .	    0.0	...
15445792	   .	   .	    0.0	...
15445794	   .	   .	    0.0	...
15445796	   .	   .	    0.0	...
15445798	   .	   .	    0.0	...
15445800	   .	   .	    0.0	...
15445802	   .	   .	    0.0	...
15445804	   .	   .	    0.0	...
15445806	   .	   .	    0.0	...
15445808	   .	   .	    0.0	...
15445810	   .	   .	    0.0	...
15445812	   .	   .	    0.0	...
15445814	   .	   .	    0.0	...
15445816	   .	   .	    0.0	...
15445818	   .	   .	    0.0	...
15445820	   .	   .	    0.0	...
15445822	   .	   .	    0.0	...
15445824	   .	   .	    0.0	...
15445826	   .	   .	    0.0	...
15445828	   .	   .	    0.0	...
15445830	   .	   .	    0.0	...
