** CONVERTED FROM /home/methlab/Desktop/LEAMA-main/data/96/96_tr.edf using edfapi 4.2.1.0 Linux   standalone Jun 18 2021 on Fri Jun  9 12:45:23 2023
** DATE: Wed Jul  1 00:44:45 2015
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.09 Nov 17 2015
** CAMERA: Eyelink GL Version 1.2 Sensor=AJ7
** SERIAL NUMBER: CLG-BDB07
** CAMERA_CONFIG: BDB07200.SCD
**

MSG	15535412 RECCFG CR 500 2 1 L
MSG	15535412 ELCLCFG RTABLER
MSG	15535412 GAZE_COORDS 0.00 0.00 799.00 599.00
MSG	15535412 THRESHOLDS L 55 196
MSG	15535412 ELCL_WINDOW_SIZES 176 176 224 224
MSG	15535412 CAMERA_LENS_FOCAL_LENGTH 27.00 
MSG	15535412 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	15535412 ELCL_PROC ELLIPSE  (5)
MSG	15535412 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	15535413 !MODE RECORD CR 500 2 1 L
START	15535414 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
INPUT	15535414	127
15535414	   .	   .	    0.0	...
SSACC L  15535416
SBLINK L 15535416
15535416	   .	   .	    0.0	...
15535418	   .	   .	    0.0	...
15535420	   .	   .	    0.0	...
15535422	   .	   .	    0.0	...
15535424	   .	   .	    0.0	...
15535426	   .	   .	    0.0	...
15535428	   .	   .	    0.0	...
15535430	   .	   .	    0.0	...
15535432	   .	   .	    0.0	...
15535434	   .	   .	    0.0	...
15535436	   .	   .	    0.0	...
15535438	   .	   .	    0.0	...
15535440	   .	   .	    0.0	...
15535442	   .	   .	    0.0	...
15535444	   .	   .	    0.0	...
15535446	   .	   .	    0.0	...
15535448	   .	   .	    0.0	...
15535450	   .	   .	    0.0	...
15535452	   .	   .	    0.0	...
15535454	   .	   .	    0.0	...
15535456	   .	   .	    0.0	...
15535458	   .	   .	    0.0	...
15535460	   .	   .	    0.0	...
15535462	   .	   .	    0.0	...
15535464	   .	   .	    0.0	...
15535466	   .	   .	    0.0	...
15535468	   .	   .	    0.0	...
15535470	   .	   .	    0.0	...
15535472	   .	   .	    0.0	...
15535474	   .	   .	    0.0	...
15535476	   .	   .	    0.0	...
15535478	   .	   .	    0.0	...
15535480	   .	   .	    0.0	...
15535482	   .	   .	    0.0	...
15535484	   .	   .	    0.0	...
15535486	   .	   .	    0.0	...
15535488	   .	   .	    0.0	...
15535490	   .	   .	    0.0	...
15535492	   .	   .	    0.0	...
15535494	   .	   .	    0.0	...
15535496	   .	   .	    0.0	...
15535498	   .	   .	    0.0	...
15535500	   .	   .	    0.0	...
15535502	   .	   .	    0.0	...
15535504	   .	   .	    0.0	...
