** CONVERTED FROM /home/methlab/Desktop/LEAMA-main/data/97/97_Res.edf using edfapi 4.2.1.0 Linux   standalone Jun 18 2021 on Thu Jun  8 15:03:58 2023
** DATE: Tue Jun 30 03:04:23 2015
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.09 Nov 17 2015
** CAMERA: Eyelink GL Version 1.2 Sensor=AJ7
** SERIAL NUMBER: CLG-BDB07
** CAMERA_CONFIG: BDB07200.SCD
**

MSG	2465221 RECCFG CR 500 2 1 L
MSG	2465221 ELCLCFG RTABLER
MSG	2465221 GAZE_COORDS 0.00 0.00 799.00 599.00
MSG	2465221 THRESHOLDS L 46 163
MSG	2465221 ELCL_WINDOW_SIZES 176 176 224 224
MSG	2465221 CAMERA_LENS_FOCAL_LENGTH 27.00 
MSG	2465221 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	2465221 ELCL_PROC ELLIPSE  (5)
MSG	2465221 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
START	2465222 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
INPUT	2465222	127
MSG	2465222 !MODE RECORD CR 500 2 1 L
2465222	   .	   .	    0.0	...
SSACC L  2465224
SBLINK L 2465224
2465224	   .	   .	    0.0	...
2465226	   .	   .	    0.0	...
2465228	   .	   .	    0.0	...
2465230	   .	   .	    0.0	...
2465232	   .	   .	    0.0	...
2465234	   .	   .	    0.0	...
2465236	   .	   .	    0.0	...
2465238	   .	   .	    0.0	...
2465240	   .	   .	    0.0	...
2465242	   .	   .	    0.0	...
2465244	   .	   .	    0.0	...
2465246	   .	   .	    0.0	...
2465248	   .	   .	    0.0	...
2465250	   .	   .	    0.0	...
2465252	   .	   .	    0.0	...
2465254	   .	   .	    0.0	...
2465256	   .	   .	    0.0	...
2465258	   .	   .	    0.0	...
2465260	   .	   .	    0.0	...
2465262	   .	   .	    0.0	...
2465264	   .	   .	    0.0	...
2465266	   .	   .	    0.0	...
2465268	   .	   .	    0.0	...
2465270	   .	   .	    0.0	...
2465272	   .	   .	    0.0	...
2465274	   .	   .	    0.0	...
2465276	   .	   .	    0.0	...
2465278	   .	   .	    0.0	...
2465280	   .	   .	    0.0	...
2465282	   .	   .	    0.0	...
2465284	   .	   .	    0.0	...
2465286	   .	   .	    0.0	...
2465288	   .	   .	    0.0	...
2465290	   .	   .	    0.0	...
2465292	   .	   .	    0.0	...
2465294	   .	   .	    0.0	...
2465296	   .	   .	    0.0	...
2465298	   .	   .	    0.0	...
2465300	   .	   .	    0.0	...
2465302	   .	   .	    0.0	...
2465304	   .	   .	    0.0	...
2465306	   .	   .	    0.0	...
2465308	   .	   .	    0.0	...
2465310	   .	   .	    0.0	...
2465312	   .	   .	    0.0	...
