** CONVERTED FROM /home/methlab/Desktop/LEAMA-main/data/97/97_tr.edf using edfapi 4.2.1.0 Linux   standalone Jun 18 2021 on Thu Jun  8 15:04:30 2023
** DATE: Tue Jun 30 03:04:48 2015
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.09 Nov 17 2015
** CAMERA: Eyelink GL Version 1.2 Sensor=AJ7
** SERIAL NUMBER: CLG-BDB07
** CAMERA_CONFIG: BDB07200.SCD
**

MSG	2490033 RECCFG CR 500 2 1 L
MSG	2490033 ELCLCFG RTABLER
MSG	2490033 GAZE_COORDS 0.00 0.00 799.00 599.00
MSG	2490033 THRESHOLDS L 46 163
MSG	2490033 ELCL_WINDOW_SIZES 176 176 224 224
MSG	2490033 CAMERA_LENS_FOCAL_LENGTH 27.00 
MSG	2490033 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	2490033 ELCL_PROC ELLIPSE  (5)
MSG	2490033 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
START	2490034 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
INPUT	2490034	127
MSG	2490034 !MODE RECORD CR 500 2 1 L
2490034	   .	   .	    0.0	...
SSACC L  2490036
SBLINK L 2490036
2490036	   .	   .	    0.0	...
2490038	   .	   .	    0.0	...
2490040	   .	   .	    0.0	...
2490042	   .	   .	    0.0	...
2490044	   .	   .	    0.0	...
2490046	   .	   .	    0.0	...
2490048	   .	   .	    0.0	...
2490050	   .	   .	    0.0	...
2490052	   .	   .	    0.0	...
2490054	   .	   .	    0.0	...
2490056	   .	   .	    0.0	...
2490058	   .	   .	    0.0	...
2490060	   .	   .	    0.0	...
2490062	   .	   .	    0.0	...
2490064	   .	   .	    0.0	...
2490066	   .	   .	    0.0	...
2490068	   .	   .	    0.0	...
2490070	   .	   .	    0.0	...
2490072	   .	   .	    0.0	...
2490074	   .	   .	    0.0	...
2490076	   .	   .	    0.0	...
2490078	   .	   .	    0.0	...
2490080	   .	   .	    0.0	...
2490082	   .	   .	    0.0	...
2490084	   .	   .	    0.0	...
2490086	   .	   .	    0.0	...
2490088	   .	   .	    0.0	...
2490090	   .	   .	    0.0	...
2490092	   .	   .	    0.0	...
2490094	   .	   .	    0.0	...
2490096	   .	   .	    0.0	...
2490098	   .	   .	    0.0	...
2490100	   .	   .	    0.0	...
2490102	   .	   .	    0.0	...
2490104	   .	   .	    0.0	...
2490106	   .	   .	    0.0	...
2490108	   .	   .	    0.0	...
2490110	   .	   .	    0.0	...
2490112	   .	   .	    0.0	...
2490114	   .	   .	    0.0	...
2490116	   .	   .	    0.0	...
2490118	   .	   .	    0.0	...
2490120	   .	   .	    0.0	...
2490122	   .	   .	    0.0	...
2490124	   .	   .	    0.0	...
