** CONVERTED FROM /home/methlab/Desktop/LEAMA-main/data/98/98_1.edf using edfapi 4.2.1.0 Linux   standalone Jun 18 2021 on Thu Jun  8 14:58:52 2023
** DATE: Tue Jun 30 02:59:16 2015
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.09 Nov 17 2015
** CAMERA: Eyelink GL Version 1.2 Sensor=AJ7
** SERIAL NUMBER: CLG-BDB07
** CAMERA_CONFIG: BDB07200.SCD
**

MSG	2157815 RECCFG CR 500 2 1 L
MSG	2157815 ELCLCFG RTABLER
MSG	2157815 GAZE_COORDS 0.00 0.00 799.00 599.00
MSG	2157815 THRESHOLDS L 46 163
MSG	2157815 ELCL_WINDOW_SIZES 176 176 224 224
MSG	2157815 CAMERA_LENS_FOCAL_LENGTH 27.00 
MSG	2157815 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	2157815 ELCL_PROC ELLIPSE  (5)
MSG	2157815 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
START	2157816 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
INPUT	2157816	127
MSG	2157816 !MODE RECORD CR 500 2 1 L
2157816	   .	   .	    0.0	...
SSACC L  2157818
SBLINK L 2157818
2157818	   .	   .	    0.0	...
2157820	   .	   .	    0.0	...
2157822	   .	   .	    0.0	...
2157824	   .	   .	    0.0	...
2157826	   .	   .	    0.0	...
2157828	   .	   .	    0.0	...
2157830	   .	   .	    0.0	...
2157832	   .	   .	    0.0	...
2157834	   .	   .	    0.0	...
2157836	   .	   .	    0.0	...
2157838	   .	   .	    0.0	...
2157840	   .	   .	    0.0	...
2157842	   .	   .	    0.0	...
2157844	   .	   .	    0.0	...
2157846	   .	   .	    0.0	...
2157848	   .	   .	    0.0	...
2157850	   .	   .	    0.0	...
2157852	   .	   .	    0.0	...
2157854	   .	   .	    0.0	...
2157856	   .	   .	    0.0	...
2157858	   .	   .	    0.0	...
2157860	   .	   .	    0.0	...
2157862	   .	   .	    0.0	...
2157864	   .	   .	    0.0	...
2157866	   .	   .	    0.0	...
2157868	   .	   .	    0.0	...
2157870	   .	   .	    0.0	...
2157872	   .	   .	    0.0	...
2157874	   .	   .	    0.0	...
2157876	   .	   .	    0.0	...
2157878	   .	   .	    0.0	...
2157880	   .	   .	    0.0	...
2157882	   .	   .	    0.0	...
2157884	   .	   .	    0.0	...
2157886	   .	   .	    0.0	...
2157888	   .	   .	    0.0	...
2157890	   .	   .	    0.0	...
2157892	   .	   .	    0.0	...
2157894	   .	   .	    0.0	...
2157896	   .	   .	    0.0	...
2157898	   .	   .	    0.0	...
2157900	   .	   .	    0.0	...
2157902	   .	   .	    0.0	...
2157904	   .	   .	    0.0	...
2157906	   .	   .	    0.0	...
