** CONVERTED FROM /home/methlab/Desktop/LEAMA-main/data/98/98_3.edf using edfapi 4.2.1.0 Linux   standalone Jun 18 2021 on Thu Jun  8 15:00:39 2023
** DATE: Tue Jun 30 03:00:48 2015
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.09 Nov 17 2015
** CAMERA: Eyelink GL Version 1.2 Sensor=AJ7
** SERIAL NUMBER: CLG-BDB07
** CAMERA_CONFIG: BDB07200.SCD
**

MSG	2257174 RECCFG CR 500 2 1 L
MSG	2257174 ELCLCFG RTABLER
MSG	2257174 GAZE_COORDS 0.00 0.00 799.00 599.00
MSG	2257174 THRESHOLDS L 46 163
MSG	2257174 ELCL_WINDOW_SIZES 176 176 224 224
MSG	2257174 CAMERA_LENS_FOCAL_LENGTH 27.00 
MSG	2257174 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	2257174 ELCL_PROC ELLIPSE  (5)
MSG	2257174 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	2257175 !MODE RECORD CR 500 2 1 L
START	2257176 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
INPUT	2257176	127
2257176	   .	   .	    0.0	...
SSACC L  2257178
SBLINK L 2257178
2257178	   .	   .	    0.0	...
2257180	   .	   .	    0.0	...
2257182	   .	   .	    0.0	...
2257184	   .	   .	    0.0	...
2257186	   .	   .	    0.0	...
2257188	   .	   .	    0.0	...
2257190	   .	   .	    0.0	...
2257192	   .	   .	    0.0	...
2257194	   .	   .	    0.0	...
2257196	   .	   .	    0.0	...
2257198	   .	   .	    0.0	...
2257200	   .	   .	    0.0	...
2257202	   .	   .	    0.0	...
2257204	   .	   .	    0.0	...
2257206	   .	   .	    0.0	...
2257208	   .	   .	    0.0	...
2257210	   .	   .	    0.0	...
2257212	   .	   .	    0.0	...
2257214	   .	   .	    0.0	...
2257216	   .	   .	    0.0	...
2257218	   .	   .	    0.0	...
2257220	   .	   .	    0.0	...
2257222	   .	   .	    0.0	...
2257224	   .	   .	    0.0	...
2257226	   .	   .	    0.0	...
2257228	   .	   .	    0.0	...
2257230	   .	   .	    0.0	...
2257232	   .	   .	    0.0	...
2257234	   .	   .	    0.0	...
2257236	   .	   .	    0.0	...
2257238	   .	   .	    0.0	...
2257240	   .	   .	    0.0	...
2257242	   .	   .	    0.0	...
2257244	   .	   .	    0.0	...
2257246	   .	   .	    0.0	...
2257248	   .	   .	    0.0	...
2257250	   .	   .	    0.0	...
2257252	   .	   .	    0.0	...
2257254	   .	   .	    0.0	...
2257256	   .	   .	    0.0	...
2257258	   .	   .	    0.0	...
2257260	   .	   .	    0.0	...
2257262	   .	   .	    0.0	...
2257264	   .	   .	    0.0	...
2257266	   .	   .	    0.0	...
