** CONVERTED FROM /home/methlab/Desktop/LEAMA-main/data/98/98_tr.edf using edfapi 4.2.1.0 Linux   standalone Jun 18 2021 on Thu Jun  8 14:58:15 2023
** DATE: Tue Jun 30 02:58:38 2015
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.09 Nov 17 2015
** CAMERA: Eyelink GL Version 1.2 Sensor=AJ7
** SERIAL NUMBER: CLG-BDB07
** CAMERA_CONFIG: BDB07200.SCD
**

MSG	2121080 RECCFG CR 500 2 1 L
MSG	2121080 ELCLCFG RTABLER
MSG	2121080 GAZE_COORDS 0.00 0.00 799.00 599.00
MSG	2121080 THRESHOLDS L 46 163
MSG	2121080 ELCL_WINDOW_SIZES 176 176 224 224
MSG	2121080 CAMERA_LENS_FOCAL_LENGTH 27.00 
MSG	2121080 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	2121080 ELCL_PROC ELLIPSE  (5)
MSG	2121080 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	2121081 !MODE RECORD CR 500 2 1 L
START	2121082 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
INPUT	2121082	127
2121082	   .	   .	    0.0	...
SSACC L  2121084
SBLINK L 2121084
2121084	   .	   .	    0.0	...
2121086	   .	   .	    0.0	...
2121088	   .	   .	    0.0	...
2121090	   .	   .	    0.0	...
2121092	   .	   .	    0.0	...
2121094	   .	   .	    0.0	...
2121096	   .	   .	    0.0	...
2121098	   .	   .	    0.0	...
2121100	   .	   .	    0.0	...
2121102	   .	   .	    0.0	...
2121104	   .	   .	    0.0	...
2121106	   .	   .	    0.0	...
2121108	   .	   .	    0.0	...
2121110	   .	   .	    0.0	...
2121112	   .	   .	    0.0	...
2121114	   .	   .	    0.0	...
2121116	   .	   .	    0.0	...
2121118	   .	   .	    0.0	...
2121120	   .	   .	    0.0	...
2121122	   .	   .	    0.0	...
2121124	   .	   .	    0.0	...
2121126	   .	   .	    0.0	...
2121128	   .	   .	    0.0	...
2121130	   .	   .	    0.0	...
2121132	   .	   .	    0.0	...
2121134	   .	   .	    0.0	...
2121136	   .	   .	    0.0	...
2121138	   .	   .	    0.0	...
2121140	   .	   .	    0.0	...
2121142	   .	   .	    0.0	...
2121144	   .	   .	    0.0	...
2121146	   .	   .	    0.0	...
2121148	   .	   .	    0.0	...
2121150	   .	   .	    0.0	...
2121152	   .	   .	    0.0	...
2121154	   .	   .	    0.0	...
2121156	   .	   .	    0.0	...
2121158	   .	   .	    0.0	...
2121160	   .	   .	    0.0	...
2121162	   .	   .	    0.0	...
2121164	   .	   .	    0.0	...
2121166	   .	   .	    0.0	...
2121168	   .	   .	    0.0	...
2121170	   .	   .	    0.0	...
2121172	   .	   .	    0.0	...
