** CONVERTED FROM /home/methlab/Desktop/LEAMA-main/data/99/99_2.edf using edfapi 4.2.1.0 Linux   standalone Jun 18 2021 on Wed May 10 15:52:21 2023
** DATE: Mon Jun  1 03:51:30 2015
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.09 Nov 17 2015
** CAMERA: Eyelink GL Version 1.2 Sensor=AJ7
** SERIAL NUMBER: CLG-BDB07
** CAMERA_CONFIG: BDB07200.SCD
**

MSG	5300168 RECCFG CR 500 2 1 L
MSG	5300168 ELCLCFG RTABLER
MSG	5300168 GAZE_COORDS 0.00 0.00 799.00 599.00
MSG	5300168 THRESHOLDS L 46 203
MSG	5300168 ELCL_WINDOW_SIZES 176 176 224 224
MSG	5300168 CAMERA_LENS_FOCAL_LENGTH 27.00 
MSG	5300168 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	5300168 ELCL_PROC ELLIPSE  (5)
MSG	5300168 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	5300169 !MODE RECORD CR 500 2 1 L
START	5300170 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
INPUT	5300170	127
5300170	   .	   .	    0.0	...
SSACC L  5300172
SBLINK L 5300172
5300172	   .	   .	    0.0	...
5300174	   .	   .	    0.0	...
5300176	   .	   .	    0.0	...
5300178	   .	   .	    0.0	...
5300180	   .	   .	    0.0	...
5300182	   .	   .	    0.0	...
5300184	   .	   .	    0.0	...
5300186	   .	   .	    0.0	...
5300188	   .	   .	    0.0	...
5300190	   .	   .	    0.0	...
5300192	   .	   .	    0.0	...
5300194	   .	   .	    0.0	...
5300196	   .	   .	    0.0	...
5300198	   .	   .	    0.0	...
5300200	   .	   .	    0.0	...
5300202	   .	   .	    0.0	...
5300204	   .	   .	    0.0	...
5300206	   .	   .	    0.0	...
5300208	   .	   .	    0.0	...
5300210	   .	   .	    0.0	...
5300212	   .	   .	    0.0	...
5300214	   .	   .	    0.0	...
5300216	   .	   .	    0.0	...
5300218	   .	   .	    0.0	...
5300220	   .	   .	    0.0	...
5300222	   .	   .	    0.0	...
5300224	   .	   .	    0.0	...
5300226	   .	   .	    0.0	...
5300228	   .	   .	    0.0	...
5300230	   .	   .	    0.0	...
5300232	   .	   .	    0.0	...
5300234	   .	   .	    0.0	...
5300236	   .	   .	    0.0	...
5300238	   .	   .	    0.0	...
5300240	   .	   .	    0.0	...
5300242	   .	   .	    0.0	...
5300244	   .	   .	    0.0	...
5300246	   .	   .	    0.0	...
5300248	   .	   .	    0.0	...
5300250	   .	   .	    0.0	...
5300252	   .	   .	    0.0	...
5300254	   .	   .	    0.0	...
5300256	   .	   .	    0.0	...
5300258	   .	   .	    0.0	...
5300260	   .	   .	    0.0	...
