** CONVERTED FROM /home/methlab/Desktop/LEAMA-main/data/99/99_3.edf using edfapi 4.2.1.0 Linux   standalone Jun 18 2021 on Sat Apr 22 10:59:14 2023
** DATE: Wed May 13 22:58:14 2015
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.09 Nov 17 2015
** CAMERA: Eyelink GL Version 1.2 Sensor=AJ7
** SERIAL NUMBER: CLG-BDB07
** CAMERA_CONFIG: BDB07200.SCD
**

MSG	5433179 RECCFG CR 500 2 1 L
MSG	5433179 ELCLCFG RTABLER
MSG	5433179 GAZE_COORDS 0.00 0.00 799.00 599.00
MSG	5433179 THRESHOLDS L 66 195
MSG	5433179 ELCL_WINDOW_SIZES 176 176 224 224
MSG	5433179 CAMERA_LENS_FOCAL_LENGTH 27.00 
MSG	5433179 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	5433179 ELCL_PROC ELLIPSE  (5)
MSG	5433179 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
START	5433180 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
INPUT	5433180	127
MSG	5433180 !MODE RECORD CR 500 2 1 L
5433180	   .	   .	    0.0	...
SSACC L  5433182
SBLINK L 5433182
5433182	   .	   .	    0.0	...
5433184	   .	   .	    0.0	...
5433186	   .	   .	    0.0	...
5433188	   .	   .	    0.0	...
5433190	   .	   .	    0.0	...
5433192	   .	   .	    0.0	...
5433194	   .	   .	    0.0	...
5433196	   .	   .	    0.0	...
5433198	   .	   .	    0.0	...
5433200	   .	   .	    0.0	...
5433202	   .	   .	    0.0	...
5433204	   .	   .	    0.0	...
5433206	   .	   .	    0.0	...
5433208	   .	   .	    0.0	...
5433210	   .	   .	    0.0	...
5433212	   .	   .	    0.0	...
5433214	   .	   .	    0.0	...
5433216	   .	   .	    0.0	...
5433218	   .	   .	    0.0	...
5433220	   .	   .	    0.0	...
5433222	   .	   .	    0.0	...
5433224	   .	   .	    0.0	...
5433226	   .	   .	    0.0	...
5433228	   .	   .	    0.0	...
5433230	   .	   .	    0.0	...
5433232	   .	   .	    0.0	...
5433234	   .	   .	    0.0	...
5433236	   .	   .	    0.0	...
5433238	   .	   .	    0.0	...
5433240	   .	   .	    0.0	...
5433242	   .	   .	    0.0	...
5433244	   .	   .	    0.0	...
5433246	   .	   .	    0.0	...
5433248	   .	   .	    0.0	...
5433250	   .	   .	    0.0	...
5433252	   .	   .	    0.0	...
5433254	   .	   .	    0.0	...
5433256	   .	   .	    0.0	...
5433258	   .	   .	    0.0	...
5433260	   .	   .	    0.0	...
5433262	   .	   .	    0.0	...
5433264	   .	   .	    0.0	...
5433266	   .	   .	    0.0	...
5433268	   .	   .	    0.0	...
5433270	   .	   .	    0.0	...
