** CONVERTED FROM /home/methlab/Desktop/LEAMA-main/data/99/99_4.edf using edfapi 4.2.1.0 Linux   standalone Jun 18 2021 on Wed May 10 15:54:27 2023
** DATE: Mon Jun  1 03:53:57 2015
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.09 Nov 17 2015
** CAMERA: Eyelink GL Version 1.2 Sensor=AJ7
** SERIAL NUMBER: CLG-BDB07
** CAMERA_CONFIG: BDB07200.SCD
**

MSG	5446123 RECCFG CR 500 2 1 L
MSG	5446123 ELCLCFG RTABLER
MSG	5446123 GAZE_COORDS 0.00 0.00 799.00 599.00
MSG	5446123 THRESHOLDS L 46 203
MSG	5446123 ELCL_WINDOW_SIZES 176 176 224 224
MSG	5446123 CAMERA_LENS_FOCAL_LENGTH 27.00 
MSG	5446123 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	5446123 ELCL_PROC ELLIPSE  (5)
MSG	5446123 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
START	5446124 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
INPUT	5446124	127
MSG	5446124 !MODE RECORD CR 500 2 1 L
5446124	   .	   .	    0.0	...
SSACC L  5446126
SBLINK L 5446126
5446126	   .	   .	    0.0	...
5446128	   .	   .	    0.0	...
5446130	   .	   .	    0.0	...
5446132	   .	   .	    0.0	...
5446134	   .	   .	    0.0	...
5446136	   .	   .	    0.0	...
5446138	   .	   .	    0.0	...
5446140	   .	   .	    0.0	...
5446142	   .	   .	    0.0	...
5446144	   .	   .	    0.0	...
5446146	   .	   .	    0.0	...
5446148	   .	   .	    0.0	...
5446150	   .	   .	    0.0	...
5446152	   .	   .	    0.0	...
5446154	   .	   .	    0.0	...
5446156	   .	   .	    0.0	...
5446158	   .	   .	    0.0	...
5446160	   .	   .	    0.0	...
5446162	   .	   .	    0.0	...
5446164	   .	   .	    0.0	...
5446166	   .	   .	    0.0	...
5446168	   .	   .	    0.0	...
5446170	   .	   .	    0.0	...
5446172	   .	   .	    0.0	...
5446174	   .	   .	    0.0	...
5446176	   .	   .	    0.0	...
5446178	   .	   .	    0.0	...
5446180	   .	   .	    0.0	...
5446182	   .	   .	    0.0	...
5446184	   .	   .	    0.0	...
5446186	   .	   .	    0.0	...
5446188	   .	   .	    0.0	...
5446190	   .	   .	    0.0	...
5446192	   .	   .	    0.0	...
5446194	   .	   .	    0.0	...
5446196	   .	   .	    0.0	...
5446198	   .	   .	    0.0	...
5446200	   .	   .	    0.0	...
5446202	   .	   .	    0.0	...
5446204	   .	   .	    0.0	...
5446206	   .	   .	    0.0	...
5446208	   .	   .	    0.0	...
5446210	   .	   .	    0.0	...
5446212	   .	   .	    0.0	...
5446214	   .	   .	    0.0	...
