** CONVERTED FROM /home/methlab/Desktop/LEAMA-main/data/99/99_Res.edf using edfapi 4.2.1.0 Linux   standalone Jun 18 2021 on Wed May 10 15:48:26 2023
** DATE: Mon Jun  1 03:48:01 2015
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.09 Nov 17 2015
** CAMERA: Eyelink GL Version 1.2 Sensor=AJ7
** SERIAL NUMBER: CLG-BDB07
** CAMERA_CONFIG: BDB07200.SCD
**

MSG	5091474 RECCFG CR 500 2 1 L
MSG	5091474 ELCLCFG RTABLER
MSG	5091474 GAZE_COORDS 0.00 0.00 799.00 599.00
MSG	5091474 THRESHOLDS L 46 203
MSG	5091474 ELCL_WINDOW_SIZES 176 176 224 224
MSG	5091474 CAMERA_LENS_FOCAL_LENGTH 27.00 
MSG	5091474 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	5091474 ELCL_PROC ELLIPSE  (5)
MSG	5091474 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	5091475 !MODE RECORD CR 500 2 1 L
START	5091476 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
INPUT	5091476	127
5091476	   .	   .	    0.0	...
SSACC L  5091478
SBLINK L 5091478
5091478	   .	   .	    0.0	...
5091480	   .	   .	    0.0	...
5091482	   .	   .	    0.0	...
5091484	   .	   .	    0.0	...
5091486	   .	   .	    0.0	...
5091488	   .	   .	    0.0	...
5091490	   .	   .	    0.0	...
5091492	   .	   .	    0.0	...
5091494	   .	   .	    0.0	...
5091496	   .	   .	    0.0	...
5091498	   .	   .	    0.0	...
5091500	   .	   .	    0.0	...
5091502	   .	   .	    0.0	...
5091504	   .	   .	    0.0	...
5091506	   .	   .	    0.0	...
5091508	   .	   .	    0.0	...
5091510	   .	   .	    0.0	...
5091512	   .	   .	    0.0	...
5091514	   .	   .	    0.0	...
5091516	   .	   .	    0.0	...
5091518	   .	   .	    0.0	...
5091520	   .	   .	    0.0	...
5091522	   .	   .	    0.0	...
5091524	   .	   .	    0.0	...
5091526	   .	   .	    0.0	...
5091528	   .	   .	    0.0	...
5091530	   .	   .	    0.0	...
5091532	   .	   .	    0.0	...
5091534	   .	   .	    0.0	...
5091536	   .	   .	    0.0	...
5091538	   .	   .	    0.0	...
5091540	   .	   .	    0.0	...
5091542	   .	   .	    0.0	...
5091544	   .	   .	    0.0	...
5091546	   .	   .	    0.0	...
5091548	   .	   .	    0.0	...
5091550	   .	   .	    0.0	...
5091552	   .	   .	    0.0	...
5091554	   .	   .	    0.0	...
5091556	   .	   .	    0.0	...
5091558	   .	   .	    0.0	...
5091560	   .	   .	    0.0	...
5091562	   .	   .	    0.0	...
5091564	   .	   .	    0.0	...
5091566	   .	   .	    0.0	...
