** CONVERTED FROM /home/methlab/Desktop/LEAMA-main/data/99/99_tr.edf using edfapi 4.2.1.0 Linux   standalone Jun 18 2021 on Tue Jun 13 11:34:30 2023
** DATE: Sat Jul  4 23:33:26 2015
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.09 Nov 17 2015
** CAMERA: Eyelink GL Version 1.2 Sensor=AJ7
** SERIAL NUMBER: CLG-BDB07
** CAMERA_CONFIG: BDB07200.SCD
**

MSG	5471899 RECCFG CR 500 2 1 L
MSG	5471899 ELCLCFG RTABLER
MSG	5471899 GAZE_COORDS 0.00 0.00 799.00 599.00
MSG	5471899 THRESHOLDS L 43 171
MSG	5471899 ELCL_WINDOW_SIZES 176 176 224 224
MSG	5471899 CAMERA_LENS_FOCAL_LENGTH 27.00 
MSG	5471899 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	5471899 ELCL_PROC ELLIPSE  (5)
MSG	5471899 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
START	5471900 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
INPUT	5471900	127
MSG	5471900 !MODE RECORD CR 500 2 1 L
5471900	   .	   .	    0.0	...
SSACC L  5471902
SBLINK L 5471902
5471902	   .	   .	    0.0	...
5471904	   .	   .	    0.0	...
5471906	   .	   .	    0.0	...
5471908	   .	   .	    0.0	...
5471910	   .	   .	    0.0	...
5471912	   .	   .	    0.0	...
5471914	   .	   .	    0.0	...
5471916	   .	   .	    0.0	...
5471918	   .	   .	    0.0	...
5471920	   .	   .	    0.0	...
5471922	   .	   .	    0.0	...
5471924	   .	   .	    0.0	...
5471926	   .	   .	    0.0	...
5471928	   .	   .	    0.0	...
5471930	   .	   .	    0.0	...
5471932	   .	   .	    0.0	...
5471934	   .	   .	    0.0	...
5471936	   .	   .	    0.0	...
5471938	   .	   .	    0.0	...
5471940	   .	   .	    0.0	...
5471942	   .	   .	    0.0	...
5471944	   .	   .	    0.0	...
5471946	   .	   .	    0.0	...
5471948	   .	   .	    0.0	...
5471950	   .	   .	    0.0	...
5471952	   .	   .	    0.0	...
5471954	   .	   .	    0.0	...
5471956	   .	   .	    0.0	...
5471958	   .	   .	    0.0	...
5471960	   .	   .	    0.0	...
5471962	   .	   .	    0.0	...
5471964	   .	   .	    0.0	...
5471966	   .	   .	    0.0	...
5471968	   .	   .	    0.0	...
5471970	   .	   .	    0.0	...
5471972	   .	   .	    0.0	...
5471974	   .	   .	    0.0	...
5471976	   .	   .	    0.0	...
5471978	   .	   .	    0.0	...
5471980	   .	   .	    0.0	...
5471982	   .	   .	    0.0	...
5471984	   .	   .	    0.0	...
5471986	   .	   .	    0.0	...
5471988	   .	   .	    0.0	...
5471990	   .	   .	    0.0	...
